20260002|李娜|2006-06-22|70|77|65|85|0002
20260003|王强|2006-06-04|66|68|70|52|0003
20260004|刘洋|2005-03-22|98|73|73|88|0004
20260005|陈晨|2006-08-22|77|90|72|92|0005
20260006|杨磊|2006-08-17|64|90|68|62|0006
20260007|赵敏|2004-04-21|98|65|65|74|0007
20260008|黄涛|2005-07-09|63|72|90|85|0008
20260009|周杰|2004-03-09|62|90|97|84|0009
20260010|吴婷|2004-01-05|63|56|68|98|0010
20260011|徐浩|2006-12-02|61|81|65|89|0011
20260012|孙悦|2005-11-10|88|70|65|95|0012
20260013|胡斌|2005-06-23|88|57|73|77|0013
20260014|朱琳|2005-07-26|62|68|81|63|0014
20260015|高峰|2004-07-12|83|78|91|82|0015
20260016|林静|2006-11-16|66|59|58|73|0016
20260017|何超|2005-08-17|80|67|87|77|0017
20260018|郭婷|2004-07-19|74|93|77|87|0018
20260019|马俊|2005-03-07|89|77|94|95|0019
20260020|罗倩|2006-03-21|81|75|80|73|0020
20260021|梁宇|2004-03-10|91|72|80|64|0021
20260022|宋佳|2004-02-13|96|83|62|75|0022
20260023|郑凯|2006-02-01|62|71|93|52|0023
20260024|谢雨|2006-09-15|74|58|72|52|0024
20260025|韩旭|2005-04-24|96|97|93|63|0025
20260026|唐琳|2006-09-05|75|59|61|78|0026
20260027|冯杰|2005-06-11|78|88|74|79|0027
20260028|于洋|2006-10-10|80|93|81|56|0028
20260029|董雪|2005-07-09|93|67|64|55|0029
20260030|萧然|2004-08-04|76|61|97|60|0030
20260031|程浩|2005-11-21|75|96|84|60|0031
20260032|袁媛|2004-07-08|61|88|61|90|0032
20260033|邓超|2004-05-09|63|72|59|91|0033
20260034|彭博|2006-12-22|92|89|73|95|0034
20260035|曾艳|2004-03-01|77|91|100|83|0035
20260036|吕晨|2006-04-28|90|64|91|73|0036
20260037|苏航|2004-03-06|82|77|97|57|0037
20260038|潘婷|2004-09-22|89|84|69|54|0038
20260039|杜鹏|2006-11-06|87|78|80|62|0039
20260040|魏薇|2006-04-26|99|85|80|79|0040
20260041|沈阳|2004-07-20|76|78|76|67|0041
20260042|姚瑶|2006-07-19|92|85|100|97|0042
20260043|钟凯|2005-10-27|69|62|90|77|0043
20260044|傅莹|2006-05-05|82|73|91|55|0044
20260045|蒋晨|2004-08-16|69|80|74|79|0045
20260046|蔡文|2006-04-12|67|55|96|67|0046
20260047|贺磊|2004-09-12|97|86|65|86|0047
20260048|孔明|2006-04-15|84|59|69|86|0048
20260049|白雪|2006-11-11|68|86|100|93|0049
20260050|范宇|2005-06-11|89|56|96|72|0050
20260051|邱婷|2006-12-23|76|87|70|82|0051
20260052|熊伟|2004-07-01|95|86|67|88|0052
20260053|金鑫|2006-06-13|87|62|70|64|0053
20260054|顾晨|2004-11-26|98|90|82|63|0054
20260055|杨鑫|2004-09-16|88|87|98|90|0055
